time heart-rate
0.643 93.312597
1.265 96.463023
1.883 97.087379
2.517 94.637224
3.17 91.883614
3.836 90.09009
4.501 90.225564
5.167 90.09009
5.831 90.361446
6.431 100
7.02 101.867572
7.59 105.263158
8.145 108.108108
9.726 113.851992
10.23 119.047619
10.731 119.760479
12.18375 123.902944
11.6995 123.902944
11.6995 123.902944
12.668 123.902944
13.14 127.118644
13.5985 130.861505
14.057 130.861505
14.513 131.578947
14.965 132.743363
15.412 134.228188
15.854 135.746606
16.293 136.67426
16.7285 137.772675
17.164 137.772675
17.593 139.86014
18.019 140.84507
18.447 140.186916
18.867 142.857143
19.284 143.884892
19.701 143.884892
20.119 143.54067
20.525 147.783251
20.937 145.631068
22.14975 148.423004
21.7455 148.423004
21.7455 148.423004
22.554 148.423004
22.952 150.753769
23.351 150.37594
23.747 151.515152
24.537667 151.770657
24.142333 151.770657
24.933 151.770657
25.321 154.639175
25.713 153.061225
26.102 154.241645
26.493 153.452685
26.877 156.25
27.651 155.038761
27.264 155.038761
28.038 155.038761
28.4235 155.642023
28.809 155.642023
29.573 157.068063
29.191 157.068063
29.955 157.068063
30.336 157.480315
30.717 157.480315
31.101 156.25
31.48 158.311346
31.859 158.311346
32.241 157.068063
32.623 157.068063
33.004 157.480315
33.3855 157.273919
33.767 157.273919
34.147 157.894737
34.524 159.151194
34.909 155.844156
35.284 160
35.664 157.894737
36.046 157.068063
37.18 158.73016
36.802 158.73016
36.802 158.73016
37.558 158.73016
37.938 157.894737
38.32 157.068063
38.6985 158.520476
39.077 158.520476
39.451 160.427808
39.832 157.480315
40.218 155.440415
40.591 160.857909
40.972 157.480315
41.349 159.151194
41.728 158.311346
42.109 157.480315
42.862333 159.292035
42.485667 159.292035
43.239 159.292035
43.6215 156.862745
44.004 156.862745
44.379 160
45.137667 158.172231
44.758333 158.172231
45.517 158.172231
45.893 159.574468
46.272 158.311346
47.028 158.730159
46.65 158.730159
47.406 158.730159
47.7795 160.64257
48.153 160.64257
48.536 156.657963
48.909 160.857909
