,id,uri,Track Name,Artist,Acousticness,Daceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Time Signature,Liked
0,0q21FNwES2bbtcduB6kjEU,spotify:track:0q21FNwES2bbtcduB6kjEU,Dancing in the Moonlight,King Harvest,0.739,0.657,0.435,0.0,0.167,-15.707,0.0552,135.975,4,1
1,745H5CctFr12Mo7cqa1BMH,spotify:track:745H5CctFr12Mo7cqa1BMH,My Girl,The Temptations,0.635,0.572,0.418,0.0,0.0961,-10.738,0.0349,104.566,4,1
2,24lvdbt9pS7DFEjhEWSl49,spotify:track:24lvdbt9pS7DFEjhEWSl49,You Send Me,Sam Cooke,0.887,0.558,0.311,0.0,0.118,-9.582,0.0288,95.978,4,1
3,3QcuZo6WLcFkqqLmDs0d95,spotify:track:3QcuZo6WLcFkqqLmDs0d95,Doctor My Eyes,Jackson Browne,0.266,0.48,0.626,5.7e-05,0.0857,-8.406,0.0294,75.63,4,1
4,0RgcOUQg4qYAEt9RIdf3oB,spotify:track:0RgcOUQg4qYAEt9RIdf3oB,Shining Star,"Earth, Wind & Fire",0.668,0.676,0.692,0.00915,0.13,-13.093,0.052,102.516,4,1
5,29U7stRjqHU6rMiS8BfaI9,spotify:track:29U7stRjqHU6rMiS8BfaI9,What A Wonderful World,Louis Armstrong,0.729,0.271,0.165,1.6e-06,0.118,-20.652,0.0351,77.082,4,1
6,6ft9PAgNOjmZ2kFVP7LGqb,spotify:track:6ft9PAgNOjmZ2kFVP7LGqb,Can't Take My Eyes off You,Frankie Valli,0.566,0.575,0.764,1.07e-05,0.0692,-7.448,0.0746,123.821,4,1
7,4RvWPyQ5RL0ao9LPZeSouE,spotify:track:4RvWPyQ5RL0ao9LPZeSouE,Everybody Wants To Rule The World,Tears For Fears,0.347,0.645,0.795,0.00389,0.104,-12.095,0.0527,112.067,4,1
8,7pF4GkbY0WVpfr8TW4epFN,spotify:track:7pF4GkbY0WVpfr8TW4epFN,You're the Song (That I Can't Stop Singing),Frankie Valli,0.409,0.596,0.631,2.02e-06,0.303,-8.944,0.131,160.077,4,1
9,1Hk25057O1SKKJAMRcJvjX,spotify:track:1Hk25057O1SKKJAMRcJvjX,Remember When,Wayne Newton,0.811,0.593,0.363,0.0,0.212,-13.757,0.0345,131.7,4,1
10,0HqZX76SFLDz2aW8aiqi7G,spotify:track:0HqZX76SFLDz2aW8aiqi7G,Bones,Imagine Dragons,0.0206,0.773,0.742,0.0,0.0754,-3.678,0.046,114.071,4,1
11,3lz2JgAt4cyr04qDlBgTOv,spotify:track:3lz2JgAt4cyr04qDlBgTOv,Watch Me,Jaden,0.0108,0.734,0.722,0.000201,0.157,-4.872,0.071,129.927,4,1
12,4iZ4pt7kvcaH6Yo8UoZ4s2,spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,SZA,0.141,0.559,0.551,0.0,0.11,-7.231,0.132,143.008,4,1
13,4VUXAoJESfRV3ceUYtzfpQ,spotify:track:4VUXAoJESfRV3ceUYtzfpQ,Endlessly,Omar Apollo,0.658,0.59,0.687,0.00016,0.117,-7.725,0.101,192.123,4,1
